Хостинг,Статус,Значение риска proxycheck.io (APIv3),Преимущества,Недостатки,Расположение хостинга,Расположение серверов,Минимальная цена
Hostiko,«Грязный» IP серверов,,"Низкая цена, «чистый» IP серверов в Германии",Локация серверов в Германии определяется как Украина,Украина,Украина Германия Польша,"$3,5"
Njalla,«Грязный» IP хостинга,,,,,,
Profvds,OK,,«Чистый» IP серверов,"Высокая цена, странности с установкой из своего ISO-образа",Словакия,Словакия,"$8,5"
VIRTUAL SYSTEMS,«Грязный» IP хостинга,,,,,,
HostZealot,KYC,,,,,,
Opera VPS,KYC,,,,,,
Private WebHost,KYC,,,,,,
Initech,"Ресселер хостинга Vultr, у которого «Грязный» IP хостинга",,,,,,
BlueVPS,KYC,,,,,,
BlazingFast,KYC,,,,,,
Cinfu,KYC,,,,,,
Pqhosting,Может понадобиться KYC,,,,,,
LegionBox,KYC,,,,,,
VPSBG,«Грязный» IP хостинга,,,,,,
ExtraVM,KYC,,,,,,
SporeStack,"Ресселер хостинга Vultr и Digital Ocean, у которых «грязный» IP хостинга",,,,,,
SeedVPS,Может блокировать подключения через VPN,,,,,,
FlokiNET,KYC,,,,,,
GlobalDataServer,KYC,,,,,,
Host-World,KYC,,,,,,
NiceVPS,OK (альянс),,Можно покупать домены без KYC,Очень высокая цена,Доминика,,
THC Servers,KYC,,,,,,
Cockbox,«Грязный» IP хостинга + Не внушает доверия ,,,,,,
Qhoster,KYC,,,,,,
Justhost,«Грязный» IP серверов + Не внушает доверия ,,,,,,
Ahost,KYC,,,,,,
Lunanode,Может блокировать подключения через VPN,,,,,,
IP-Connect,KYC,,,,,,
SeiMaxim,KYC,,,,,,
VPSGOD,KYC,,,,,,
Internoc24,KYC,,,,,,
Noez,"«Грязный» IP серверов, тормознутые сервера",,,,,,
Host4Coins,«Грязный» IP хостинга,,,,,,
Servting,"KYC + Ресселер хостингов DigitalOcean, Vultr и Amazon",,,,,,
MrVM,KYC,,,,,,
LiteServer,KYC,,,,,,
RamNode,KYC,,,,,,
VPSServer,KYC,,,,,,
HostSailor,KYC,,,,,,
BuyVM / Frantech,KYC,,,,,,
Rockhoster,KYC,,,,,,
Linevast,KYC,,,,,,
OrangeWebsite,"«Грязный» IP хостинга, очень дорогие сервера. С помощью ChatGPT определено, что IP серверов, скорее всего, тоже «грязный».",,,,,,
VPSBit,KYC,,,,,,
BitLaunch,"Ресселер хостингов DigitalOcean, Vultr и Linode, также у них есть свои сервера, но тоже с «грязным» IP",33,,,,,
Coin.Host,KYC,,,,,,
Hostkey,KYC,,,,,,
Crowncloud,KYC,,,,,,
Hostwinds,KYC,,,,,,
CryptoHO.ST,KYC,,,,,,
EDIS Global,KYC,,,,,,
ForexVPS,"«Грязный» IP хостинга, очень дорогие и узкоспециализированные сервера",,,,,,
Bacloud,Может понадобиться KYC,,,,,,
PrivateAlps,OK (альянс?),,"«Чистый» IP серверов, внушает доверие","Локация серверов в Швейцарии многими сервисами определяется как США, высокая цена",,,
3v-hosting,KYC,,,,,,
Servinga (VPS2day),KYC,,,,,,
RackNerd,KYC,,,,,,
Shock Hosting,KYC,,,,,,
Eldernode,KYC,,,,,,
XetHost,KYC,,,,,,
SuperBitHost,KYC,,,,,,
Fastpipe,Закрыт,,,,,,
Sered,KYC,,,,,,
Javapipe,KYC,,,,,,
Evolution Host,Может блокировать регистрацию через VPN,,,,,,
Vultr,KYC,,,,,,
xitheon,«Грязный» IP серверов,,,,,,
Hostens,KYC,,,,,,
Hosthatch,KYC,,,,,,
Serverhub,KYC,,,,,,
DeinServerHost,KYC,,,,,,
Terrahost,Может понадобиться KYC,,,,,,
ClientVPS,"«Грязный» IP хостинга, очень дорогие сервера",,,,,,
HostStage,KYC,,,,,,
Time4VPS,KYC,,,,,,
1984Hosting,KYC,,,,,,
Privex,«Грязный» IP серверов,,,,,,
AnyColo,KYC,,,,,,
RatioServer,KYC,,,,,,
CryptoVPS,KYC,,,,,,
Aaroli,KYC,,,,,,
Mevspace,KYC,,,,,,
IQHost,KYC,,,,,,
DataClub,Может понадобиться KYC,,,,,,
FlyNet,Может понадобиться KYC,,,,,,
Hostiquette,KYC,,,,,,
VPSAG,KYC,,,,,,
eCompute,KYC,,,,,,
SERVERSGURU,«Грязный» IP серверов + Не внушает доверия: неприемлемые условия использования,,,,,,
Ukrainian Data Network (UDN),"Нужно связываться с поддержкой, чтобы заказать сервер",,,,,,
VPS One,"Минимальное пополнение- $10, даже если заказ на меньшую сумму + «грязный» IP хостинга + не внушает доверия: неприелемые условия и может потребовать KYC",,,,,,
ThunderVM,KYC,,,,,,
Zergrush Hosting,KYC,,,,,,
IncogNET,«Грязный» IP хостинга,,,,,,
RVMcloud,SCAM,,,,,,
AtomicNetworks,KYC,,,,,,
Skhron,KYC,,,,,,
HostSlick,KYC,,,,,,
Webconn Technology,KYC,,,,,,
Domains4Bitcoins,KYC,,,,,,
GoSSDHosting,KYC,,,,,,
RDP.sh,OK (альянс?),,,Локация серверов в Польше многими сервисами определяется как Нидерланды,,,
